ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
40070F841ABB9D7B,electric_bike,2021-12-21 12:44:42,2021-12-21 12:57:32,Clinton St & Madison St,TA1305000032,,,41.881867,-87.64059366666666,41.9,-87.62,casual
6A19E692C1765943,electric_bike,2021-12-27 09:27:35,2021-12-27 09:32:52,,,,,41.88,-87.63,41.89,-87.63,member
B475CDC38E74CE4E,electric_bike,2021-12-13 07:59:53,2021-12-13 08:04:21,,,,,41.8,-87.59,41.79,-87.6,member
18F09217E4A49FFE,electric_bike,2021-12-13 13:59:46,2021-12-13 14:03:37,,,,,41.79,-87.6,41.79,-87.6,member
579F26A987A439F2,electric_bike,2021-12-06 08:09:30,2021-12-06 08:14:23,,,,,41.8,-87.6,41.79,-87.6,member
A4845A2236739F5A,electric_bike,2021-12-31 14:14:21,2021-12-31 14:18:57,,,,,41.93,-87.72,41.93,-87.73,member
B3F70468AEBB14CF,electric_bike,2021-12-31 14:54:33,2021-12-31 14:58:03,,,,,41.93,-87.73,41.93,-87.72,member
01737F24D0855B79,electric_bike,2021-12-31 14:44:05,2021-12-31 14:46:26,,,,,41.93,-87.73,41.93,-87.73,member
A49FF0F5AE0D6571,electric_bike,2021-12-14 10:05:12,2021-12-14 10:30:37,,,,,41.97,-87.66,41.98,-87.67,member
28B6D98D01959B39,electric_bike,2021-12-31 20:43:05,2021-12-31 20:45:58,,,,,41.9,-87.7,41.9,-87.7,member
3B179387F62495C7,electric_bike,2021-12-25 11:45:17,2021-12-25 11:52:36,,,,,41.9,-87.69,41.91,-87.69,member
793B9BFBE313A21E,electric_bike,2021-12-03 18:57:39,2021-12-03 19:10:05,,,,,41.79,-87.6,41.8,-87.59,member
7E4DDC165664E174,electric_bike,2021-12-03 18:45:28,2021-12-03 18:47:57,,,,,41.79,-87.6,41.79,-87.6,member
1D485CE178FD9F23,electric_bike,2021-12-04 00:28:31,2021-12-04 00:30:20,,,,,41.8,-87.59,41.8,-87.6,member
4DA87004099DD9D6,electric_bike,2021-12-08 14:14:42,2021-12-08 14:24:19,,,,,41.92,-87.76,41.92,-87.77,member
32B0FF570927F096,electric_bike,2021-12-08 08:04:11,2021-12-08 08:10:39,,,,,41.93,-87.75,41.92,-87.76,member
5D82817EDE01D018,electric_bike,2021-12-08 14:56:00,2021-12-08 15:01:45,,,,,41.92,-87.77,41.93,-87.75,member
A7900B4BCA888069,electric_bike,2021-12-08 08:12:54,2021-12-08 08:17:13,,,,,41.92,-87.76,41.92,-87.76,member
557D12043513FC5A,electric_bike,2021-12-08 13:56:06,2021-12-08 14:05:44,,,,,41.92,-87.76,41.92,-87.76,member
3F25F8BF0884ABC9,electric_bike,2021-12-08 15:20:29,2021-12-08 15:41:53,,,,,41.8,-87.6,41.8,-87.59,member
EAF118669FD06DF9,electric_bike,2021-12-09 20:17:33,2021-12-09 20:19:32,,,,,41.8,-87.59,41.8,-87.6,member
571D936926E42633,electric_bike,2021-12-09 20:03:19,2021-12-09 20:05:46,,,,,41.8,-87.6,41.8,-87.59,member
B87D5205050E4B76,electric_bike,2021-12-30 22:54:06,2021-12-30 22:57:59,,,,,41.9,-87.7,41.91,-87.69,member
81620F21830D5006,electric_bike,2021-12-30 20:57:19,2021-12-30 21:17:23,,,,,41.9,-87.69,41.91,-87.67,member
5675928C3FC62922,electric_bike,2021-12-30 20:05:38,2021-12-30 20:11:33,,,,,41.91,-87.69,41.9,-87.69,member
